,train_scores
0,-1359.5
1,-1512.6666666666667
2,-2713.1666666666665
3,-1848.2
4,-1591.6470588235295
5,-1988.4285714285713
6,-2027.1666666666667
7,-1037.2222222222222
8,-1505.7368421052631
9,-1761.25
10,-1017.1666666666666
11,-2386.1875
12,-806.8461538461538
13,-660.8571428571429
14,-2376.25
15,-1601.2
16,-2205.5238095238096
17,-1722.6842105263158
18,-1974.111111111111
19,-1129.3684210526317
20,-991.25
21,-1390.9285714285713
22,-421.53846153846155
23,-2213.1428571428573
24,-514.6666666666666
25,-2079.153846153846
26,-1786.4285714285713
27,-1271.9333333333334
28,-1746.923076923077
29,-1470.090909090909
30,-1822.7826086956522
31,-1262.7
32,-1533.4666666666667
33,-1334.9473684210527
34,-1572.6666666666667
35,-1274.0714285714287
36,-1288.0
37,-872.9230769230769
38,-2212.75
39,-1591.7142857142858
40,-1473.8181818181818
41,-1394.8181818181818
42,-1394.35
43,-1505.2105263157894
44,-377.45454545454544
45,-2405.777777777778
46,-1999.909090909091
47,-936.125
48,-3089.294117647059
49,-1067.25
50,-1069.5
51,-1801.25
52,-1252.75
53,-1979.0
54,-1452.55
55,-1411.5882352941176
56,-333.72727272727275
57,-1768.0588235294117
58,-1060.84
59,-494.46153846153845
60,-1638.25
61,-1576.2
62,-1039.5833333333333
63,-1482.7619047619048
64,-1618.923076923077
65,-1167.3333333333333
66,-2105.9655172413795
67,-542.8461538461538
68,-985.6666666666666
69,-1211.0
70,-1245.0
71,-2027.2
72,-1405.2
73,-1621.4166666666667
74,-1460.3846153846155
75,-1590.7407407407406
76,-1106.5384615384614
77,-1948.375
78,-2293.733333333333
79,-1123.6
80,-1129.5714285714287
81,-1230.375
82,-1436.5
83,-200.21052631578948
84,-850.1428571428571
85,-341.0769230769231
86,-795.3846153846154
87,-713.5555555555555
88,-1516.095238095238
89,-1393.2666666666667
90,-1004.0
91,-1644.25
92,-395.2
93,-1256.909090909091
94,-1014.2857142857143
95,-1012.0
96,-1705.4285714285713
97,-2512.5454545454545
98,-1485.5714285714287
99,-1131.5714285714287
100,-794.0
101,-1127.8
102,-182.47058823529412
103,-1249.125
104,-602.4166666666666
105,-1854.6666666666667
106,-1502.1666666666667
107,-735.3333333333334
108,-823.5
109,-1652.7777777777778
110,-882.4545454545455
111,-614.8947368421053
112,-1623.9166666666667
113,-1197.375
114,-1027.2666666666667
115,-1279.5833333333333
116,-1444.5
117,-1315.75
118,-1513.1666666666667
119,-1452.1
120,-2325.5454545454545
121,-1497.5294117647059
122,-1673.85
123,-1763.909090909091
124,-954.2727272727273
125,-439.1111111111111
